PN,SN,Equipment,Material Description,ATA,Contract,Order/PO,Supplier,D8 Removal Notification,D8 Removal Date,D8 Code,U/S TER,Mn.wk.ctr,Profit Ctr,A/C,Fleet,Operator,Orig Order,Orig Order Type,Orig Desc,Notif Orig,Notif Orig Type,Desc.,Doc Type,Document,DPt,Vr,Document Description,"TSN
(FH)","TSI
(FH)","SHRTRNR
TSI","CSN
(Cyc)","CSI
(Cyc)","SHRTRNR
CSI",TSC (FH),"SHRTRNR
TSC","CSC
(Cyc)",Order2,Order Type,Description,Po No,Batch Out,PO in After Out,Vendor in after out,W4 in After Out,Notif Shop,Notif Shop Type,Repair Station,PO Cost,Remark,Exclude,Vendor,PN,SN,Reason of Removal,Category Finding,Shop Finding,User Status,Total Cost Actual
2758,D02906,12258059,AIRCRAFT BATTERY,,,584323,WSEM,13531239,42890,WR,S,CGK1T1ZZ,GMFTL,PK-GLK,A320-200,Citilink,801676967,GA01,REMOVE BATTERY FOR OVERHAUL,13283866,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,3014.3,558.53,,2460,449,,,,,592792,GA05,24-38-51 AIRCRAFT BATTERY (OVERHAUL),592792,,,,,13546674,W1,,,"25 30 ,50",,WSAV,2758,D02906,SHOP CHECK,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,370.9
2758,C01691,12179993,AIRCRAFT BATTERY,,,582965,WSEM,13531406,42890,FO,S,GAH240ZZ,GMFTL,PK-GLQ,A320-200,Citilink,801676962,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13240170,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,02,DC GENERATION,5933.86,529.6,,4822,404,,,,,592793,GA05,,592793,,,,,13543636,W1,,,"25 30 ,50",,WSAV,2758,C01691,REPL AIRCRAFT BATTERY REF JOBCARD EO : 801676962 PN ON : 2758:F6177 SN ON : C07158,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,285.3
2758,C06150,12216040,AIRCRAFT BATTERY,,,581653,WSEM,13531408,42890,FO,S,GAH240ZZ,GMFTL,PK-GLQ,A320-200,Citilink,801676963,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13209475,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,02,DC GENERATION,5235.92,529.6,,3981,404,,,,,592791,GA05,24-38-51 AIRCRAFT BATTERY (REGULAER),592791,,,,,13543605,W1,,,"25 30 ,50",,WSAV,2758,C06150,REPL AIRCRAFT BATTERY REF JOBCARD EO : 801676962 PN ON : 2758:F6177 SN ON : A05972,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,370.9
2758,201606121,12293848,AIRCRAFT BATTERY,,,581649,WSEM,13532278,42891,TX,S,GAH240ZZ,GMFTL,PK-GLL,A320-200,Citilink,801677026,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13209470,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,02,DC GENERATION,900.34,595.83,,707,497,,,,,592789,GA05,24-38-51 AIRCRAFT BATTERY (REGULAER),592789,,,,,13543675,W1,,,"25 30 ,50",,WSAV,2758,201606121,REMOVE BATTERY FOR CHECK IN WORKSHOP PN ON : 2758:F6177 SN ON : 201601755,DIRTY AND LOW LEVEL LIQUID,DIRTY LOW LEVEL LIQUID,RRC,285.3
2758,C00536,12157195,AIRCRAFT BATTERY,,,582964,WSEM,13532280,42891,TX,S,GAH240ZZ,GMFTL,PK-GLL,A320-200,Citilink,801677025,GA01,REMOVE BATTERY FOR OVERHAUL,13237267,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,8129.18,595.83,,5722,497,,,,,592790,GA05,24-38-51 AIRCRAFT BATTERY (OVERHAUL),592790,,,,,13546637,W1,,,"25 30 ,50",,WSAV,2758,C00536,REMOVE BATTERY FOR OVERHAUL PN ON : 2758:F6177 SN ON : C07297,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,370.9
2758,201603234,12279907,AIRCRAFT BATTERY,,,588506,WSEM,13540425,42893,WR,S,CGK1T1ZZ,GMFTL,PK-GQJ,A320-200,Citilink,801687529,GA01,REMOVE BATTERY FOR OVERHAUL,13435473,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,1791.57,113.48,,1402,66,Y,,,,593313,GA05,24-38-51 AIRCRAFT BATTERY,593313,,,,,13560814,W1,,,"25 30 ,50",,WSAV,2758,201603234,CRIMI REFF J/C 801687529,DIRTY AND LOW LEVEL LIQUID,GENERAL OVERHAUL,RRC,328.1
2758,201601756,12272774,AIRCRAFT BATTERY,,,580958,WSEM,13553144,42898,FO,S,GAH210ZZ,GMFTL,PK-GLW,A320-200,Citilink,801688788,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13190159,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,02,DC GENERATION,2340.99,697.42,,1865,589,,,,,593498,GA05,TEST OF 24-38-51 AIRCRAFT BATTERY,593498,,,,,13564146,W1,,,"25 30 ,50",,WSAV,2758,201601756,SHOP CHECK DT LOW VOLTAGE SN ON : D02906,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LIQUID LEVEL",RRC,542.1
2758,C02943,12159568,AIRCRAFT BATTERY,,,580397,WSEM,13562637,42901,WR,S,CGK1T1ZZ,GMFTL,PK-GQK,A320-200,Citilink,801705600,GA01,REMOVE BATTERY FOR CHECK IN WORKSHOP,13172130,E8,REMOVE FROM AIRCRAFT,AMI,10000066582,000,02,DC GENERATION,7606.25,840.65,,4880,575,,,,,593894,GA05,24-38-51 AIRCRAFT BATTERY,593894,,,,,13579937,W1,,,"25 30 ,50",,WSAV,2758,C02943,REMOVE BATTERY FOR CHECK IN WORKSHOP,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,456.5
2758,D02922,12258062,AIRCRAFT BATTERY,,,583162,WSUB,13574817,42904,WR,S,GAH210ZZ,GMFTL,PK-GQL,A320-200,Citilink,801708111,GA01,REMOVE BATTERY FOR OVERHAUL,13246643,E8,REMOVE FROM AIRCRAFT,AMI,10000066581,000,02,DC GENERATION,3100.59,647.87,,2343,391,,,,,594158,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,594158,,,,,13589439,W1,,,"25 30 ,50",,WSAV,2758,D02922,LOW VOLTAGE REF ORDER JC : 801708111,DIRTY AND LOW LEVEL LIQUID,"SCHEDULE OVERHAUL,DIRTY AND LOW LEVEL LIQUID",RRC,199.7
2758,201600416,12274374,AIRCRAFT BATTERY,,,583610,WSEM,13575309,42904,FO,U,GAH210ZZ,GMFTL,PK-GLD,A320-200,Citilink,801711884,GA02,FINDING A/C BATTERY,,,,,,,,,1848.5,408.99,,1533,335,,,,,594156,GA05,TEST AND REPAIR OF 24-38-51 AIRCRAFT BAT,594156,,,,,13584359,W1,,,"25 30 ,50",,WSAV,2758,201600416,LOW VOLTAGE,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID,RRC,584.9
